rid,date_of_service,toc_code,location,planned_arrival_time,planned_departure_time,actual_arrival_time,actual_departure_time,late_canc_reason
202201087653136,2022-01-08,SW,WEY,,08:03:00,,08:03:00,
202201087653136,2022-01-08,SW,DCH,08:12:00,08:13:00,08:11:00,08:12:00,
202201087653136,2022-01-08,SW,WRM,08:27:00,08:28:00,08:26:00,08:28:00,
202201087653136,2022-01-08,SW,HAM,08:34:00,08:35:00,08:32:00,08:34:00,
202201087653136,2022-01-08,SW,POO,08:39:00,08:40:00,08:37:00,08:39:00,
202201087653136,2022-01-08,SW,PKS,08:44:00,08:44:00,08:41:00,08:43:00,
202201087653136,2022-01-08,SW,BSM,08:48:00,08:48:00,08:46:00,08:47:00,
202201087653136,2022-01-08,SW,BMH,08:54:00,08:59:00,08:52:00,08:59:00,
202201087653136,2022-01-08,SW,BCU,09:13:00,09:14:00,09:13:00,09:14:00,
202201087653136,2022-01-08,SW,SOU,09:28:00,09:30:00,09:29:00,09:30:00,
202201087653136,2022-01-08,SW,SOA,09:37:00,09:38:00,09:37:00,09:38:00,
202201087653136,2022-01-08,SW,WIN,09:47:00,09:48:00,09:46:00,09:47:00,
202201087653136,2022-01-08,SW,BSK,10:05:00,10:06:00,10:03:00,10:06:00,
202201087653136,2022-01-08,SW,WOK,10:24:00,10:32:00,10:24:00,10:32:00,
202201087653136,2022-01-08,SW,GLD,10:44:00,10:50:00,10:42:00,10:49:00,
202201087653136,2022-01-08,SW,CLJ,11:26:00,11:27:00,11:23:00,11:27:00,
202201087653136,2022-01-08,SW,WAT,11:37:00,,11:36:00,,
202201087653138,2022-01-08,SW,WEY,,09:03:00,,09:03:00,
202201087653138,2022-01-08,SW,DCH,09:12:00,09:13:00,09:12:00,09:13:00,
202201087653138,2022-01-08,SW,WRM,09:27:00,09:28:00,09:26:00,09:28:00,
202201087653138,2022-01-08,SW,HAM,09:34:00,09:35:00,09:33:00,09:35:00,
202201087653138,2022-01-08,SW,POO,09:39:00,09:40:00,09:37:00,09:39:00,
202201087653138,2022-01-08,SW,PKS,09:44:00,09:44:00,09:41:00,09:43:00,
202201087653138,2022-01-08,SW,BSM,09:48:00,09:48:00,09:46:00,09:48:00,
202201087653138,2022-01-08,SW,BMH,09:54:00,09:59:00,09:53:00,09:58:00,
202201087653138,2022-01-08,SW,BCU,10:13:00,10:14:00,10:13:00,10:13:00,
202201087653138,2022-01-08,SW,SOU,10:28:00,10:30:00,10:27:00,10:29:00,
202201087653138,2022-01-08,SW,SOA,10:37:00,10:38:00,10:36:00,10:36:00,
202201087653138,2022-01-08,SW,WIN,10:47:00,10:48:00,10:45:00,10:47:00,
202201087653138,2022-01-08,SW,BSK,11:05:00,11:06:00,11:03:00,11:06:00,
202201087653138,2022-01-08,SW,WOK,11:24:00,11:32:00,11:24:00,11:32:00,
202201087653138,2022-01-08,SW,GLD,11:44:00,11:50:00,11:41:00,11:50:00,
202201087653138,2022-01-08,SW,CLJ,12:26:00,12:27:00,12:25:00,12:27:00,
202201087653138,2022-01-08,SW,WAT,12:38:00,,12:37:00,,
